744,1,249,0,635,0,62,2
834,1,381,1,1279,1,78,3
908,2,873,1,1657,0,99,2
466,2,1224,2,1270,0,17,3
1008,1,934,0,1617,0,69,2
35,1,1504,0,199,0,61,1
1046,2,433,0,515,1,58,1
1542,2,1222,0,65,0,37,2
1022,2,1370,0,350,1,65,2
986,2,377,1,869,0,33,3
935,0,1744,2,1122,2,91,1
368,1,970,2,610,0,47,3
785,0,1555,2,832,1,50,1
1687,1,1000,2,1289,1,80,3
574,0,804,0,1480,2,28,2
944,1,468,0,905,2,45,2
299,0,1491,2,1065,1,24,1
139,2,1373,1,1459,0,30,1
1962,0,1615,2,1587,0,40,1
1270,0,1260,2,1151,1,77,1
1381,2,1390,1,590,1,27,3
1468,0,318,2,1701,2,43,2
1977,1,1542,2,175,2,77,1
619,0,1347,0,714,1,47,1
1899,0,576,1,612,0,48,1
290,1,291,2,1369,1,60,3
1289,1,233,2,1407,0,50,2
318,2,398,2,1173,0,77,3
290,1,1487,1,1892,2,63,3
290,1,262,1,944,1,73,3
423,1,775,0,1467,2,68,1
22,0,433,0,409,1,97,2
749,2,1960,1,1585,2,18,1
1854,0,733,1,1494,0,72,1
1443,2,365,2,1638,2,67,2
1017,2,357,1,1517,1,66,3
75,1,208,1,629,0,49,3
118,2,1419,1,477,0,79,1
644,2,1488,1,558,1,49,3
1156,2,1918,2,374,2,25,2
1151,1,1274,0,1587,0,76,1
1267,1,131,0,1854,0,77,2
955,2,810,2,206,0,58,2
1281,0,757,1,368,1,67,3
982,0,1015,0,1977,1,29,3
1124,2,573,2,1916,2,82,1
688,2,539,1,128,0,85,2
1924,2,53,1,762,1,100,1
332,2,613,2,1319,0,20,3
1411,0,1720,2,1297,2,82,3
663,2,873,1,465,0,47,3
1358,2,1818,2,90,2,18,1
1099,2,1446,1,1824,1,52,2
700,0,309,2,1167,2,43,1
1661,2,1906,2,1620,1,55,2
1481,2,1738,2,682,1,67,3
1660,2,1304,1,1853,1,56,3
1698,0,104,0,634,0,87,3
1096,1,1639,2,524,0,53,1
1354,1,1408,1,1023,1,19,2
1970,0,911,1,1632,2,48,1
446,1,1649,2,1851,2,34,1
282,1,1121,0,1178,1,40,2
977,1,828,0,1115,0,46,3
31,0,269,2,1162,2,30,2
945,0,944,1,1806,1,28,2
1033,1,61,0,1709,2,99,1
23,0,1734,2,1160,1,16,2
1309,2,580,2,1658,0,16,3
393,1,97,2,702,2,77,2
773,2,1786,2,1793,2,91,2
1950,2,1146,1,432,0,38,2
1424,2,1679,0,117,2,67,2
695,1,884,1,349,0,72,2
1263,0,260,0,627,2,30,1
628,0,1309,2,1587,0,34,3
1803,1,290,1,713,2,51,2
249,0,1172,2,1748,1,33,2
745,0,1963,1,504,0,78,1
211,1,1675,1,56,1,24,1
1224,2,982,0,1809,1,96,3
128,0,1198,1,779,2,21,3
437,1,1624,2,185,2,37,1
460,2,783,0,700,0,89,3
234,2,1883,0,746,2,39,1
270,0,1478,1,1994,1,71,1
104,0,1685,2,1669,2,96,3
1782,1,145,0,766,2,94,1
1558,1,1465,0,97,2,58,1
71,1,1385,1,1578,1,77,2
